title,description
Katy Perry Reacts to Fan Proposal After Yacht PDA With Justin Trudeau,Katy Perry reacted to a fan’s onstage proposal in London just two days after photos of her sharing PDA on a yacht with Justin Trudeau surfaced
Trudeau calls meeting with premiers to take ‘Team Canada’ approach to Trump tariffs,OTTAWA — Prime Minister Justin Trudeau says he’ll call a meeting with premiers to take a ‘Team Canada’ response to Donald Trump’s threat of imposing h...
Woke icon Justin Trudeau resigns after party rejects his leadership,"Canadian Prime Minister Justin Trudeau has announced his resignation after over nine years in office, citing internal party strife and poor."
Trudeau calls conversation with Trump 'excellent' after meeting in Florida,"Trump, in his first term as president, called Trudeau ""weak"" and ""dishonest,"" yet Trudeau was the first G7 leader to visit him since Nov. 5."
Life after Justin Trudeau for the Liberal Party of Canada,"Unlike his father, who also left office amid widespread unpopularity but had just repatriated the Constitution and created the Charter of Rights and Freedoms, i..."
How Justin Trudeau Changed Katy Perry’s Mind About Dating Him,Katy Perry wasn’t looking for a relationship when she and Justin Trudeau first went out in July. Here’s how he changed her mind and got her to date him.
Singh says NDP will vote to bring down Trudeau government,NDP Leader Jagmeet Singh says his party will bring forward a motion of non-confidence to bring down the Trudeau government in the next sitting of the House of C...
"Trump’s Threat to Annex Canada: A Real Concern, Says Trudeau",Canadian Prime Minister Justin Trudeau views Donald Trump's threat to annex Canada as a serious issue. Trudeau made these comments
Trudeau says democracy at stake as Ukraine kept away from peace talks,"Prime Minister Justin Trudeau says Ukraine must have a seat at the table in any peace talks, as Washington and Moscow discuss ways to end the war. Trudeau says ..."
Trudeau set to shuffle his cabinet Friday after a tumultuous week: sources,"Prime Minister Justin Trudeau will shuffle his cabinet Friday, multiple sources have told CBC News. He's got big gaps to fill on his front bench after a spate o..."
Justin Trudeau to resign as Canadian PM today amid party pressure? Report claims...,"Trudeau, who has led the Liberal Party since 2013, faces mounting pressure within his party to step aside as polls predict a major defeat to the opposition Cons..."
"ANALYSIS: Justin Trudeau, who thrived as an underdog, loses the fight - National",The long-serving prime minister leaves behind a mixed legacy of political achievement and scandals after announcing his resignation.
"Why Canada PM Justin Trudeau May Resign, This Is What You Need To Know",Canadian PM Justin Trudeau assumed office nine years ago with a halo around him. He certainly does not have such image anymore. Canadian media has reported that...
Justin Trudeau & Katy Perry had a romantic dinner together in Montreal??,"Celebitchy is a daily gossip and entertainment blog, started in 2006, which also focuses on liberal politics, royal coverage and fashion."
"Wait, Are Katy Perry and Justin Trudeau Dating?","After conquering space, Katy Perry is moving on to Canada, where she dined with former Canadian prime minister Justin Trudeau on Monday."
Katy Perry and Justin Trudeau Are Officially Dating,Katy Perry and Justin Trudeau are officially dating after leaving a breadcrumb trail of clues during the summer. Here’s everything we know about their relatio...
Why did Justin Trudeau resign as Canada PM? What we know so far,"Rest of World News: In a historic move, Justin Trudeau announced his resignation as both leader of the Liberal Party and Prime Minister of Canada this Monday."
"Trudeau, Trump discuss Ukraine and shared border","On February 1, Trump signed an executive order to impose tariffs on goods from Canada, China and Mexico"
Trudeau asks Indigenous leaders in Canada for help standing up to Trump,National Indigenous leaders in Canada say the prime minister is asking them to lobby their counterparts in the United States as part of the pushback against pre...
Canada’s Justin Trudeau Expected to Resign as Liberal Party Leader This Week: Report,"Canadian Prime Minister Justin Trudeau is preparing to announce his resignation as Liberal Party Leader as soon as Monday, according to a new report in The Glob..."
Jesse Kline: Trudeau chooses weakness in face of Trump tariffs,Liberals have had months to prepare and have done almost nothing
"Trudeau asked Trump for California, Vermont to curb annexation talks","Justin Trudeau says U.S. president-elect Donald Trump kicked the tires on the potential annexation of Canada during their recent meeting in Florida, but the top..."
Canada's Trudeau vows immediate & strong response to Trump's 'unjustified tariffs',US News: Canadian Prime Minister Justin Trudeau has pledged a strong response to US President Donald Trump's plan to impose tariffs on Canadian imports startin
Trudeau says Trump’s 51st state talk distracts from cost tariffs will bring - National,"In an interview with CNN, Trudeau pushed back again on the idea of Canada becoming part of the U.S., which Trump has continued to push in comments to media."
Donald Trump Heard Mocking Justin Trudeau on Gaza Hot Mic,"A joking exchange between President Donald Trump and Canadian Prime Minister Mark Carney was caught on a hot mic during a summit of world leaders in Egypt,…"
Katy Perry and Justin Trudeau Share a ‘Supersized Attraction’,"Katy Perry and Justin Trudeau’s romance is back on, and a source said that in addition to their ‘supersized attraction,’ the pair ‘loves to talk about s..."
Justin Trudeau Dresses Up as Left Shark Amid Katy Perry Romance,Justin Trudeau dresses as the viral Left Shark with son Hadrien as Katy Perry romance rumors swirl and their relationship remains low key with private meetings
"""Time For You To Step Aside"": Canada MP's Letter To Justin Trudeau",Canadian MP Chandra Arya has added to the uncertainty of the future of Prime Minister Justin Trudeau's leadership in the country as he said that he believes it ...
Trudeau urges U.S. consumers to consider the harm of Trump's tariff threats,Canada's outgoing Prime Minister Justin Trudeau on Sunday suggested that President-elect Donald Trump's remarks about Canada becoming America's “51st state”...
Justin Trudeau is resigning. A look back at the demands for him to go - National,Justin Trudeau's decision to resign comes after months of calls from his MPs and years from opposition leaders to step down from the job he's held for more than...
FIRST READING: How far Trudeau could go in clinging to power,"In an extreme case, he prorogues parliament and walls himself up in the PMO until the federal government goes broke"
"Justin Trudeau, Katy Perry spotted dining together at high-end Montreal restaurant",International pop superstar Katy Perry and former prime minister Justin Trudeau were spotted together Monday night at a restaurant in the city's Plateau neighbo...
Trudeau calls for plan to build a new official prime minister’s residence,"OTTAWA — With one foot out the door, Prime Minister Justin Trudeau is asking one of his ministers to help develop a plan for a new official residence to repla..."
Trudeau sets meetings with U.S. and Mexico at G20 summit,"Trudeau will have a series of key meetings on the sidelines of the G20 summit in Rio de Janeiro on Monday, including a talk with Joe Biden."
Trump and Trudeau trade insults as US tariffs kick in,"US President Donald Trump and Canadian Prime Minister Justin Trudeau have traded insults as new US tariffs on imports from Canada, Mexico and China kick in.  ?..."
Justin Trudeau spotted at Katy Perry’s Montreal concert with his daughter - National,The 'Firework' singer is currently on her Lifetimes Tour and is set to perform in Quebec City on Friday.
"Amid calls of resignation, Canada PM Justin Trudeau reshuffles cabinet","Rest of World News: Facing internal dissent and mounting political pressure, Canadian Prime Minister Justin Trudeau reshuffled his cabinet on Friday. This move ..."
Trudeau launches Canada-U.S. council as Trump's tariff threats loom,Outgoing Canadian Prime Minister Justin Trudeau announced Thursday the formation of a Canada-U.S. relations council to support the federal government as it deal...
Is That Katy Perry Kissing Justin Trudeau on a Yacht?,The singer and the former prime minster of Canada appear to be back on after their situationship allegedly “cooled off’ a few months ago.
