title,description
Trudeau announces Canada-U.S. Economic Summit for Friday,"With the threat of punishing tariffs on pause but still hovering over the Canadian economy, Prime Minister Justin Trudeau announced the government will host a C..."
Trudeau calls for calm in face of Trump's tariff threat,"Canadians need to remain calm in the face of U.S. president-elect Donald Trump’s threat to impose 25 per cent tariffs on all imports from Canada, Prime Minist..."
Tariffs on Canada also postponed after Trump-Trudeau talks,"After agreeing with Mexico's Claudia Sheinbaum on a one-month pause for the imposition of 25% tariffs, US President Donald Trump reached an understanding Monday..."
Why Donald Trump has a rocky relationship with Justin Trudeau?,"The relationship remains strained, with significant economic stakes for Canada. If tensions escalate further, the impact on Canada’s economy could be serious"
Photo shows Justin Trudeau kissing Katy Perry on a yacht,"The former prime minister of Canada was seen kissing the Grammy-nominated pop star on her yacht off the coast of Santa Barbara, Calif."
Justin Trudeau Subtly References Katy Perry With Fintastic Halloween Costume,Justin Trudeau paid subtle homage to Katy Perry amid the pair’s growing romance with his Halloween costume—an inflatable shark.
Matthew Lau: Canada's Trudeau-induced economic coma,"No matter what metric you look at — GDP, business investment, jobs, taxes, crime or identity politics — the figures are grim"
Why is Justin Trudeau resigning? Explaining the Canadian PM's political woes,"A decade ago, Canadian Prime Minister Justin Trudeau was a shining figure in international diplomacy. Now he's resigning"
Justin Trudeau resigns as Liberal leader: Follow live updates,Prime Minister Justin Trudeau has stepped down as Liberal leader. Follow along for live updates from CTVNews.ca.
Justin Trudeau Thirsts Over Katy Perry At Her Concert,"The internet is in a frenzy after seeing video footage of Justin Trudeau oogling Katy Perry at her ""Lifetimes Tour"" stop in Montreal July 30."
Trudeau to step down as Canada's PM,
"Katy Perry, Justin Trudeau seen holding hands leaving Paris club",The pair's public appearance on the pop singer's 41st birthday has added fuel to growing speculation the two are in a relationship.
Explainer: Why Canada's Justin Trudeau Is Under Pressure To Quit,Canadian Liberal Prime Minister Justin Trudeau is under increasing pressure to quit after Finance Minister Chrystia Freeland resigned over a policy clash on Mon...
What We Know About The Katy Perry-Justin Trudeau Dating Rumors,Rumors the pop star and ex-Canadian prime minister are dating heated up in recent days after pictures surfaced of the pair kissing and Perry dropped possible hi...
Canadian Prime Minister Justin Trudeau announces plan to resign,"Justin Trudeau will end his nine years in power, following increasing pressure from his own party to step down."
Katy Perry ‘Likes’ Post Spoofing Her Romance With Justin Trudeau,Katy Perry dropped a 'like' on a parody post from 'The Onion' about her romance with former Canadian Prime Minister Justin Trudeau
Justin Trudeau Attends Katy Perry’s Lifetimes Tour Amid Dating Rumors,"Justin Trudeau attended Katy Perry’s ﻿Lifetimes Tour in Montreal, Canada on July 30. Trudeau also brought his daughter, ﻿Ella-Grace, to the concert."
Trudeau announces stepping down as Canada’s prime minister,He added that he is proud to have served Canada and its people
Trudeau plans on stacking Senate before retiring: source,"Prime Minister Justin Trudeau is planning a final wave of appointments to fill the 10 vacancies in the Senate before he retires in March, Radio-Canada has learn..."
Justin Trudeau says he'll resign as prime minister of Canada,"The development comes a month after Canada's deputy prime minister, Chrystia Freeland, resigned suddenly from Trudeau's cabinet."
Justin Trudeau announces he will resign as Canada's Prime Minister,Canadian Prime Minister Justin Trudeau has announced he will step down as leader of the ruling Liberals after nine years in office but will stay on in his post ...
"Justin Trudeau Exits Parliament Race, Ending His Political Career for Now",Radical leftist Prime Minister of Canada Justin Trudeau confirmed on Wednesday that he would not be running for a seat in Parliament.
"Major reshuffle as Trudeau faces party pressure, Trump taunts","Canadian Prime Minister Justin Trudeau on Friday shook up his cabinet, changing one-third of his team as political turmoil threatens his leadership and tensions..."
Trudeau announces his resignation as Prime Minister of Canada,Justin Trudeau announced Monday his resignation as Prime Minister of Canada after nine years in office. His stepping down would become effective once the Libera...
Trudeau says Trump's Canada annexation threat 'a real thing',"Prime Minister Justin Trudeau told an economic summit Friday that President Donald Trump is serious about annexing Canada to access its natural resources, as hi..."
Katy Perry and Justin Trudeau Pack on PDA During Yacht Outing,Katy Perry and Justin Trudeau were spotted kissing and cuddling on a yacht near Santa Barbara following her split from Orlando Bloom in June
"Canada's Justin Trudeau faces internal revolt, calls for resignation grow",Rest of World News: Canadian Prime Minister Justin Trudeau faces mounting pressure to resign amid dwindling support within the Liberal Party. Following Deputy P...
Biden says 'the world is better off' because of Trudeau,"U.S. President Joe Biden has issued a glowing review of Prime Minister Justin Trudeau's time in office, describing him as a man who left the world, the continen..."
Katy Perry & Justin Trudeau Don’t Share the Same Feelings — Source,Katy Perry is reportedly far more invested in her rumored romance with Justin Trudeau than the ex-Canadian prime minister is.
"How does Canada define itself? 'We're not Americans,' Trudeau tells CNN",Prime Minister Justin Trudeau said Donald Trump's repeated digs about Canada becoming the 51st state are a distraction.
Will Justin Trudeau become first victim of Trump's tariff war?,US News: Canadian Deputy PM Chrystia Freeland's shocking resignation throws Prime Minister Justin Trudeau's government into turmoil amidst economic woes and US
"Canada's Justin Trudeau responds to Donald Trump's '51st state' jibe, calls him...",Trudeau called the comments a “distraction tactic” and emphasised Canadians' pride in their national identity
Washington views Canada’s PM Trudeau as ‘stalwart friend’ of US — official,"White House Press Secretary Karine Jean-Pierre added that the US would ""stand with"" all people of Canada as they elected a new leader"
Race begins to replace Canadian PM Trudeau,"The race to be Canadian Prime Minister Justin Trudeau's successor kicked off on Tuesday, a day after he resigned amid a looming trade war with the United States..."
Trudeau expected to outline Canada’s response to Trump’s tariffs,Prime Minister Justin Trudeau is expected to take questions later this morning about how Canada will respond in the face of sweeping tariffs imposed by U.S. Pre...
Canada's Justin Trudeau Breaks Down On Camera During Farewell Speech,The glimpses of a teared-up Justin Trudeau marks one of his final moments as the Prime Minister of Canada before his Liberal Party chooses a new successor to ri...
Canada’s Trudeau Announces Intention to Resign as Prime Minister,"If elections were held today, the opposition Conservative Party would almost certainly take office."
Trudeau announces tariff deal with Trump,Canadian Prime Minister Justin Trudeau has confirmed duties suspension for at least 30 days
Katy Perry & Justin Trudeau Take Next Big Step in Relationship — Source,Katy Perry and Justin Trudeau are reportedly planning to spend a romantic time together during the Christmas holiday.
Canada PM Justin Trudeau could resign today…,The sheen has rubbed off the Prince Charming of international politics with predictions that he will resign today. From the Guardian: The Globe and Mail newspap...
"Trudeau, Biden discuss rule of law at Brazil G20 summit","Prime Minister Justin Trudeau spent his first day at the G20 leaders' summit Monday speaking in closed-door meetings about issues like continental trade, fighti..."
Trudeau inviting premiers to Ottawa as Trump inauguration looms,Prime Minister Justin Trudeau is inviting provincial and territorial premiers to Ottawa next Wednesday to discuss Canada-U.S. relations.
Trudeau has prorogued Parliament. Here’s what that means - National,Prime Minister Justin Trudeau said Gov. Gen. Mary Simon has agreed with his request to prorogue Parliament until March 24 as the Liberals hold a contest to repl...
Trudeau trolls Trump after Canada bests USA at hockey,Canadian Prime Minister Justin Trudeau took a jab at President Trump after Canada's victory over the United States in an international hockey tournament.
Trudeau Quits: Canada faces political uncertainty and leadership change,Forty-three-year-old Trudeau’s positive political message and energetic personality had helped the Liberals win a historic majority in Parliament in 2015.
Trudeau tells Canadians to ‘put our politics aside’ in Christmas message - National,Prime Minister Justin Trudeau struck a conciliatory and hopeful tone in his annual Christmas message as he faces growing calls to resign and questions about his...
Trump wants Canada's economy to 'collapse' to make annexation 'easier': Justin Trudeau,US News: Canadian Prime Minister Justin Trudeau accuses US President Donald Trump of imposing tariffs to weaken Canada's economy and facilitate annexation. Thi
Trudeau calls idea of banning Trump from Canada ‘irresponsible’,"Trudeau said he sees the idea of banning Trump as an ""irresponsible"" approach to governance and dialogue with other nations."
Trudeau Dancing as Antisemites Burn Down Montreal,"Demonstrators set vehicles on fire, vandalized property, and burned an effigy of Prime Minister Benjamin Netanyahu."
"Over in Canada, PM Trudeau bites the dust","Donald Trump excels in every field, including surrealism. Leonard Cohen sang ""First we take Manhattan, then we take Berlin!"", but it"
Trudeau resigns after nearly a decade of environmental impact,"Canadian Prime Minister Justin Trudeau has overseen major advances in environmental law, as well as buying a pipeline"
Trudeau announces he will resign as Canada's prime minister,"Justin Trudeau, Canada's longtime prime minister, announced he intends to resign as prime minister and head of his party. Trudeau faced growing opposition in Ca..."
"Trudeau set to step down as leader, Globe reports","Breaking News, Sports, Manitoba, Canada"
Katy Perry Subtly Debuts Justin Trudeau on Her Instagram,Katy Perry shared a clip celebrating her birthday on Instagram that features former Canadian Prime Minister Justin Trudeau.
Trudeau calls tariffs dumb; says Trump wants to ruin Canadian economy,Canadian Prime Minister Justin Trudeau told U.S. President Donald Trump on Tuesday that his tariffs on Canadian imports were
"Justin Trudeau Says 'Made Mistakes' On Immigration, Plans Big Change","In a recent video message, Trudeau stated that Canada's population has grown rapidly over the past two years, but this growth has also been accompanied by explo..."
Justin Trudeau Is ‘Much Happier Now’ With Katy Perry — Source,Sources reportedly revealed that former Canadian Prime Minister Justin Trudeau's life has
Canada PM Trudeau bows out with resignation announcement amid plunging popularity,Says parliament will be suspended until March.
Potential scenarios for Prime Minister Justin Trudeau and the Liberals,"The Liberal government was thrown into disarray this week when Chrystia Freeland stepped down from cabinet as finance minister, reviving calls for Prime Ministe..."
Potential scenarios for Prime Minister Justin Trudeau and the Liberals,"OTTAWA — The Liberal government was thrown into disarray this week when Chrystia Freeland stepped down from cabinet as finance minister, reviving calls for Pr..."
"Katy Perry, Justin Trudeau Still Privately Seeing Each Other (Excl)","Katy Perry and former Canadian Prime Minister Justin Trudeau are still dating, multiple sources exclusively tell Us Weekly"
Justin Trudeau to resign as Canada's prime minister - what happens now?,The Canadian prime minister is stepping down after nine years at the helm. What happens now - and what led to his departure?
"Trump trolls Justin Trudeau as ""governor"" of the ""great state"" of Canada",President-elect Donald Trump and Canadian Prime Minister Justin Trudeau recently had dinner at Mar-a-Lago.
Canada's Trudeau announces tariffs on US in retaliation for Trump's tariffs,"Canada will retaliate against President Donald Trump's new tariffs by imposing 25 percent tariffs U.S. goods from drinks to appliances, Prime Minister Justin Tr..."
Justin Trudeau is resigning. Here’s what comes next.,A cost-of-living crisis and conflict in the Liberal Party mean the resignation’s not a surprise.
"Long-time CBC radio host, Montreal news anchor Dennis Trudeau dies at 77","Dennis Trudeau had been working as a journalist for several years before he joined CBC in 1979. Among his posts, he hosted CBC Daybreak for eight years. He late..."
Trudeau says G20 leaders' statement on Ukraine is not strong enough,Prime Minister Justin Trudeau said Tuesday the final leaders' statement from the G20 summit in Brazil is not strong enough on the war in Ukraine.
Canada’s Trudeau faces increasing pressure from his own MPs to quit,"“There is no alternative but to have the leadership change now,” says Liberal party legislator Chandra Arya."
Montreal Liberal MP Anthony Housefather says Trudeau should resign,"Montreal MP Anthony Housefather has joined the number of Liberals who are calling on Prime Minister Justin Trudeau to step aside, saying Monday that he believes..."
Jamie Sarkonak: Justin Trudeau resigns a failure,"Many Canadians wanted his soft-on-crime promises, multicultural utopianism and energy stagnation. They just didn't like getting it"
Trump calls Florida meeting with Trudeau productive amid stiff tariff threat,"Trump says he and Trudeau discussed the drug crisis, particularly fentanyl, illegal immigration, as well as trade, energy and the Arctic"
Katy Perry and Justin Trudeau Have Dinner Date in Montreal,Katy Perry and former Canadian Prime Minister Justin Trudeau are both newly single and were spotted dining together at a posh Montreal restaurant.
Watch Justin Trudeau Support Katy Perry at Her Concert After Their Date,Former Canadian Prime Minister Justin Trudeau was seen dancing at Katy Perry's concert after the two went on an intimate dinner date.
"Go woke, go broke: How Justin Trudeau lost his mojo","Rest of World News: Explore the rise and fall of Justin Trudeau, examining his early success, missteps, and the impact of economic challenges on his political l..."
Kelly McParland: Trudeau hands over a disgruntled country,"He leaves in his wake a nation divided, unsettled, abnormally pessimistic and uncertain of its place in the world"
Ontario Liberal MPs want Justin Trudeau to step down: sources,"At a virtual meeting of the Ontario Liberal caucus on Saturday morning, more than 50 Liberal MPs came to a consensus that Prime Minister Justin Trudeau needs to..."
Katy Perry and Justin Trudeau PDA session confirms romance rumors,Katy Perry and Justin Trudeau display romance with PDA aboard the singer's yacht Caravelle off the Santa Barbara coast in newly obtained photos.
Destruction of marshland near Trudeau airport stuns conservation group,"Montreal's airport authority, Aéroports de Montréal, says the contractor they hired to install fencing near the tarmac at Montreal’s Trudeau International A..."
Trudeau noncommittal on expanding rebate beyond 'working Canadians',"Prime Minister Justin Trudeau does not appear willing to budge on his plan to send a $250 rebate to 'hardworking Canadians,' despite pressure from the oppositio..."
Poilievre says RCMP covered up Trudeau-era scandals,"Breaking News, Sports, Manitoba, Canada"
Katy Perry’s Cheeky Comment Suggests She May Be Engaged To Justin Trudeau,Katy Perry made an interesting comment to a fan suggesting she's in a romantic relationship with former Canadian prime minister Justin Trudeau.
Trudeau rushes over to London to discuss Trump with King Charles III,Canadian Prime Minister Justin Trudeau traveled to Britain to discuss with King Charles III at Sandringham Estate the ongoing crisis with US President Donald Tr...
"Katy Perry Was ‘Scared’ to Date Justin Trudeau, Says Source","Justin Trudeau and Katy Perry are reportedly dating, and apparently, the singer was scared to date the politician, says a source."
Katy Perry and Justin Trudeau Take Their Relationship Public,"After months of speculation, Katy Perry and Justin Trudeau make their relationship official with their first public outing as a couple."
Justin Trudeau attends Taylor Swift show in Toronto with family members,Prime Minister Justin Trudeau was among the fans checking out Taylor Swift's second-last Toronto show on Friday evening.
Justin Trudeau 'Much Happier' In New Relationship With Katy Perry: Report,Recent reports indicate that former Canadian Prime Minister Justin Trudeau is in a new relationship with singer Katy Perry and is much happier as a result.
"Did Trudeau Really Make A Counter-Offer For ""Parts"" Of Canada With Trump?",Canadian Prime Minister Justin Trudeau revealed that he jokingly suggested trading Vermont or California to President-elect Donald Trump in response to Trump's ...
"Internal battles, public anger and party conflict: The downfall of Justin Trudeau","When Canadian Prime Minister Justin Trudeau was catapulted to power in 2015, he was regarded as a fresh face who could bring positive change. Now, his approval ..."
Trudeau says Kamala Harris's election loss was a setback for women's progress,Prime Minister Justin Trudeau said Tuesday that Kamala Harris's loss in the U.S. presidential election was a setback for women's progress — and cited several ...
Trudeau says Canada will push back on U.S. tariffs with Trump administration,"Trump signed an executive order Monday to implement 25 per cent tariffs on all steel and aluminum imports into the U.S., beginning March 12."
WATCH: Trudeau Resigns as Prime Minister of Canada,"After he was rocked by high-profile resignations and internal warfare Trudeau says: ""I intend to resign as party leader as PM after the party selects its"
Trudeau promises border helicopters at ‘very productive’ Trump meeting: source - National,"On Friday evening, Trudeau landed in Florida and travelled to Trump's Mar-a-Lago club for a hastily arranged dinner and discussion with president-elect."
Former Trudeau ally Freeland enters race to be Canada PM,"Canada's former deputy prime minister Chrystia Freeland launched her campaign Sunday to replace Justin Trudeau as Liberal Party leader and prime minister, pitch..."
‘Proud Feminist’ Trudeau Accused of Sexism in Rift with Ex-Trade Minister,Canadian Prime Minister Justin Trudeau is accused of sexism after scapegoating trade minister Chrystia Freeland and forcing her to resign.
Trudeau to announce he's stepping down as Liberal leader: sources,Prime Minister Justin Trudeau is holding a news conference on Monday as questions swirl about his political future.
Katy Perry and Justin Trudeau spark romance rumours,Pop star Katy Perry and former Canadian Prime Minister Justin Trudeau have reportedly developed an “instant connection”.
Justin Trudeau faces leadership test as deputy PM Chrystia Freeland resigns,"Chrystia Freeland, who is also finance minister, left cabinet on Monday after clashing with Mr Trudeau on issues including how to handle possible Trump tariffs."
"CP NewsAlert: Trudeau pledges light armoured vehicles, seized assets at Kyiv summit",KYIV — Prime Minister Justin Trudeau has pledged 25 light armoured vehicles to Ukraine and to provide the country with $5 billion in seized Russian assets. Tr...
Canada could send troops to Ukraine – Trudeau,Canadian PM Justin Trudeau has claimed that Ottawa is considering all possible options to secure and bolster Kiev’s positions against Moscow
Trudeau shuffling fresh faces into cabinet today to fill vacancies,Prime Minister Justin Trudeau is shuffling his cabinet this morning. He is expected to make several changes to his ministerial roster in a bid to inject some st...
"Trump’s trade war will last for ‘foreseeable future,’ Trudeau says - National",Prime Minister Justin Trudeau added that U.S. President Donald Trump's trade war will continue for the 'foreseeable future' but Canada will 'not back down.'
Trudeau attends Taylor Swift concert in Toronto with family,"Prime Minister Justin Trudeau was spotted in the crowd at the Taylor Swift concert Friday in Toronto with his family, his office confirmed."
Trudeau to make first public remark following Freeland's resignation,"Chrystia Freeland, Canada's finance minister, said in an explosive letter published Monday morning that she will quit cabinet. Follow along for live updates."
Trudeau vows to fight Trump’s tariffs,The Canadian prime minister has promised to retaliate against US duties on steel and aluminum
Is Justin Trudeau Ready to Take a Walk in the Snow?,Canada’s prime minister is under pressure from all directions to quit.
Trudeau stands by Zelenskyy as London summit on European security ends,"Prime Minister Justin Trudeau says Moscow can't be trusted in any agreement to end its invasion of Ukraine, as European leaders craft plans to rely less on Wash..."
Report: Justin Trudeau to Step Down as Party Leader this Week,Justin Trudeau will reportedly resign from his position as party leader this week amid conservative opposition and dismal approval ratings.
"Justin Trudeau, Facing Dissent Within His Party, Announces Resignation As PM",Justin Trudeau resigned today as the leader of his Liberal Party of Canada effectively ending his nine-year tenure as Canada's Prime Minister too. The move come...
"Yoon, Canada's Trudeau hold summit on sidelines of APEC","By Kim Eun-jung LIMA, Nov. 15 (Yonhap) -- President Yoon Suk Yeol and Canadian Prime Min..."
Katy Perry & Justin Trudeau: Dinner date sparks romance speculation,"Justin Trudeau and Katy Perry were seen dining together at Montreal’s upscale Le Violon on July 28, 2025—sharing lobster, cocktails, and animated conversati..."
Trudeau to brief opposition leaders on Trump meeting,Prime Minister Justin Trudeau will meet with all opposition leaders today before question period to brief them about his meeting with U.S. president-elect Donal...
Katy Perry's Dinner With Justin Trudeau Turns Heads,It would be one of the more unusual romantic pairings in a while.  TMZ  spotted Katy Perry having dinner with former Canadian Prime Minister Justin Trudeau at a...
"Katy Perry, Justin Trudeau make 1st public appearance as a couple - National",The pop superstar and the former Canadian prime minister took their romance public as they left a Paris restaurant hand in hand while paparazzi waited for them ...
"Trudeau expected to step down this week, Globe and Mail reports",OTTAWA — The Globe and Mail is reporting that Prime Minister Justin Trudeau is expected to announce he is stepping down as Liberal party leader as early as Mo...
"N.S. Liberals commend Trudeau for announcing departure, say PM made 'right decision'","Nova Scotia Liberals praised Prime Minister Justin Trudeau on Monday for announcing his intention to step down as Liberal leader and prime minister, calling it ..."
Katy Perry Is 'Very Happy' Amid 'Low-Key' Romance With Justin Trudeau,Katy Perry and Justin Trudeau's romance heats up as sources say Perry is very happy and keeping the relationship low-key while on tour
"'It was the right decision': Quebec politicians, residents react to Trudeau resignation",Elected officials in Quebec were quick to react to the major announcement in Ottawa Monday about Prime Minister Justin Trudeau and the path forward for the fede...
Trudeau meets Trump in Florida as tariff threats loom,"Canadian Prime Minister Justin Trudeau traveled to Florida on Friday for a dinner with Donald Trump at the president-elect's Mar-a-Lago estate, as the incomin..."
Justin Trudeau quits: How his focus on social policy will be his legacy,Toronto: Justin Trudeau has resigned after more than nine years as Canada's 23rd prime minister.Parliament will be prorogued and will resume sitting on March 24...
Canada to retaliate to US duties — Trudeau,Prime minister said that Canada will be responding to the US trade action with 25% tariffs against Canadian $155 billion worth of American goods
Trudeau tried to exorcise family ghosts out west. His own spectre may linger,"Early on, the Liberal leader made a surprising breakthrough in the heart of conservative oil country. But he also triggered fresh bitterness with his climate po..."
Trudeau says Canada intends to push back on U.S. steel and aluminum tariffs,Prime Minister Justin Trudeau says Ottawa will work to convince U.S. President Donald Trump that his steel and aluminum tariffs will hurt both countries.
Trudeau makes his case to Canadians in year-end interview with comedian Mark Critch,"Through laughs and jokes, Prime Minister Justin Trudeau attempted to make his case to take the Liberals into the next election."
Katy Perry & Justin Trudeau Spending Time With Her Daughter — Source,"Katy Perry reportedly introduced Justin Trudeau to her daughter, Daisy Dove, after their romantic yacht getaway photos became viral."
"Justin Trudeau to shuffle his cabinet ahead of Trump presidency, election year",OTTAWA — Prime Minister Justin Trudeau will shuffle his cabinet later this morning at Rideau Hall to shore up his beleaguered government. His Liberals are ree...
Trudeau highlights Kamala Harris presidential defeat as an attack on women’s progress,"Breaking News, Sports, Manitoba, Canada"
NP View: Canada's worst ever finance minister — Justin Trudeau,"It doesn't matter who the actual minister is, the prime minister controls all"
Canada: Trudeau looks set to lose power after key ally vows to topple him,OTTAWA: Canadian Prime Minister Justin Trudeau on Friday looked set to lose power early next year after a key ally said he would move to bring down the minority...
Canada is fighting back against a 'dumb' trade war: PM Justin Trudeau,"He said Canada is immediately introducing 25 per cent retaliatory tariffs on $30 billion worth of American products, and will expand them to cover another $125 ..."
Trudeau set to meet with premiers on Trump tariff threat - National,The in-person meeting in Ottawa comes less than a week before U.S. president-elect Donald Trump takes office for a second non-consecutive term on Jan. 20.
Canada's embattled PM Justin Trudeau to step down as party leader,"Justin Trudeau said TKDAY that he will resign as the leader of Canada's ruling Liberal Party, in an announcement that will set off a contest to replace him."
Trudeau warns Vance about impact of U.S. steel and aluminum tariffs,"Prime Minister Justin Trudeau warned U.S. Vice-President J.D. Vance that punishing tariffs on Canadian steel and aluminum will hurt his home state Ohio, a senio..."
"Trudeau appoints new senators for Nova Scotia, Nunavut",Prime Minister Justin Trudeau appointed two new senators on Thursday — Allister Surette for Nova Scotia and Nancy Karetak-Lindell for Nunavut.
"‘Vast majority’ of Liberal caucus wants Trudeau to resign, MP says - National",Liberal MP Anthony Housefather says Trudeau has lost the confidence of Canadians and wants to ensure Liberals can offer a different vision in the next election.
Key ally vows to topple Canadian PM Trudeau in fresh blow to his government,"NDP leader Jagmeet Singh announces plan to introduce motion to topple Canadian government, sparking potential early election."
Justin Trudeau can’t stop smiling during outing with Katy Perry after sparking romance rumors,Former Canadian Prime Minister Justin Trudeau was all smiles while taking a walk with Katy Perry through Mount Royal Park Monday afternoon after sparking romanc...
Diplo claims he dated both Katy Perry and Justin Trudeau: ‘That was a weird one’,"DJ Diplo has joked that he previously dated both singer Katy Perry and her new beau, former Canadian prime minister Justin Trudeau."
Trudeau says Trump will pause tariffs on Canada for 30 days,Prime Minister Justin Trudeau says President Trump has agreed to pause tariffs on Canada for 30 days. NBC News White House Correspondent Yamiche Alcindor report...
Trump's tariff threat is testing both Justin Trudeau and Pierre Poilievre,"The singular nature of the U.S. president-elect is now testing both Justin Trudeau and Pierre Poilievre, who are responding in their own particular ways."
The Unexpected Reason Justin Trudeau and Katy Perry’s Fling Cooled Off So Fast!,For a brief moment rumors linked Justin Trudeau with Katy Perry. But sources claim there is a reason why their fling cooled off so fast.
Jordan Peterson shreds Justin Trudeau for changing tone after 'demolishing' Canada's immigration system,Dr. Jordan Peterson slammed Canadian Prime Minister Justin Trudeau for allegedly changing his tone on immigration after allegedly contributing to the issue duri...
Trudeau says Canada must think ‘tactically and strategically' on dealing with Trump's tariff threats,"Trudeau addresses Canada's response to Trump's tariff threats, emphasizing strategic thinking and cooperation with the U.S. in 30-day extension."
Justin Trudeau Says Trump Talk Of Annexing Canada Is A Distraction Tactic,Canadian Prime Minister Justin Trudeau on Wednesday said U.S. President-elect Donald Trump's talk of possibly annexing Canada was a tactic designed to distract ...
"Katy Perry & Justin Trudeau Had a ‘Fantastic Evening’ at Dinner Date, Says ‘Source’","Katy Perry and Justin Trudeau's recent dinner date in Montreal is making headlines, with staff gushing about their kind behavior."
"Katy Perry Has Better Conversations With Justin Trudeau Than Orlando Bloom, Says Source","Katy Perry reportedly finds Justin Trudeau’s conversations more engaging than Orlando Bloom’s, sparking buzz over their growing connection."
"Justin Trudeau dances at Taylor Swift concert amid destructive riot in Montreal, sparking outrage","A group of anti-NATO, pro-Palestinian demonstrators wreaked havoc on the streets of Montreal on Friday night, while Prime Minister Justin Trudeau attended a Tay..."
"Trump Questions US-Canada Border Validity, Floats 1908 Treaty Revisions In Talks With Trudeau",
"Katy Perry, Justin Trudeau walk hand-in-hand in Paris amid dating rumours. Watch","Amid dating rumours, a video of singer Katy Perry and former Canadian Prime Minister Justin Trudeau waking hand-in-hand in Paris after celebrating Perry's birth..."
Carney to succeed Trudeau as Canadian PM,"Mark Carney, a former central banker and governor of both the Bank of Canada and the Bank of England, has been elected as the new leader of Canada’s Liberal P..."
Katy Perry and Justin Trudeau: A Timeline of Those Dating Rumors,Katy Perry and Justin Trudeau were spotted together a month after her split from Orlando Bloom. But that was just the start of the new relationship rumors.
Trudeau shuts down NDP proposal to bar Trump from G7 summit,Prime Minister Justin Trudeau is rejecting NDP Leader Jagmeet Singh's proposal to bar Donald Trump from attending the G7 summit taking place this spring in Cana...
BREAKING Trudeau meeting with Trump tonight in Mar-a-Lago: source,Trump has threatened to impose a 25-per-cent tariff on goods entering from Canada and Mexico unless his concerns about border security are fixed.
"Canada Will Resist US Steel Tariffs ""Strongly And Firmly"": Justin Trudeau","Canadian Prime Minister Justin Trudeau said on Tuesday that his country will ""resist"" any US tariffs on steel, announced by President Donald Trump."
Kelly McParland: Trudeau skis while his party unites in calls for his resignation,Just who does the prime minister think he's still leading at this point?
"With Trudeau on his way out, Parliament is prorogued. Here's what that means","Prime Minister Justin Trudeau's request to prorogue Parliament was granted Monday by Gov. Gen. Mary Simon, buying time for the Liberal Party to regroup and fin..."
Trudeau slams Trump for starting a trade war with Canada while appeasing Putin,Trudeau said that Canada would plaster retaliatory tariffs on more than $100 billion of American goods in response to Trump's 25% tariffs
Trump's tariffs are 'unjustified' and Canada will respond: Trudeau,"In a news release late Monday, Trudeau said if U.S. tariffs come into effect as Trump planned, Canada will respond with 25 per cent tariffs on $155 billion wort..."
Canada: ‘Aggressive Populist’ Pierre Poilievre Seeks Prime Ministership After Trudeau Exit,Canadian Conservative Party leader Pierre Poilievre began a campaign to hold a general election in the country as soon as possible.
Trudeau warns Poilievre against amplifying 'erroneous narratives' about Canada-U.S. border,"In a meeting with opposition leaders Trudeau warned the Tory over amplifying ""erroneous narratives"" he says Americans have about the border"
Trudeau to announce $20B in child care deals with 10 provinces and territories,Prime Minister Justin Trudeau will announce that his government has signed agreements totalling almost $20 billion over five years with 10 provinces and territ...
Trump taunts Trudeau by calling him 'governor' and Canada 'a great state',"President-elect Donald Trump took a jab at Prime Minister Justin Trudeau on Tuesday, calling him a ""governor"" and referring to Canada as a ""great state,"" yet a..."
'Prices for Americans will go up': Trudeau warns Trump over tariff threat,Rest of World News: Canadian Prime Minister Justin Trudeau warned that American consumers will face higher prices if President Donald Trump imposes sweeping tar...
Is Justin Trudeau Married? All About His Wife Sophie Grégoire,"With the former Canadian Prime Minister making headlines alongside Katy Perry, here’s what to know about his marriage to Sophie Grégoire."
Trudeau highlights Kamala Harris presidential defeat as an attack on women’s progress,"Prime Minister Justin Trudeau says women's rights and women's progress is under attack, pointing to the recent defeat of U.S. presidential candidate Kamala Harr..."
Trudeau highlights Kamala Harris presidential defeat as an attack on women's progress,"Prime Minister Justin Trudeau says women's rights and women's progress is under attack, pointing to the recent defeat of U.S. presidential candidate Kamala Harr..."
Trudeau prorogues Parliament and will resign as PM after leadership race,He also says Gov. Gen. Mary Simon has agreed with his request to prorogue Parliament until March 24.
"Watch: Katy Perry, Justin Trudeau confirm their relationship, walk hand-in-hand in Paris","Watch: Katy Perry, Justin Trudeau confirm their relationship, walk hand-in-hand in Paris"
"Michael Higgins: For the good of the country, Trudeau should exit immediately",It’s a bit rich for the Liberals to moan about a paralyzed Parliament
"Elon Musk 'calls' Canada's outgoing PM Justin Trudeau: Girl, you’re not the ....","TECH NEWS : Elon Musk addressed outgoing Canadian Prime Minister Justin Trudeau on X (formerly Twitter), highlighting Trudeau is no longer the governor of Canad..."
Katy Perry’s Moves During Justin Trudeau Date Analyzed by ‘Body Language Expert’,"Katy Perry reportedly gave ""flirty cues"" to Justin Trudeau during their recent dinner date in Canada, which sparked dating rumors."
"Modi’s G7 diplomacy lauded by US expert, Trudeau rebuked over Khalistan support","Michael Rubin hails PM Modi’s G7 summit attendance as a diplomatic win, slams Trudeau for emboldening Khalistanis and urges Canada to crack down on extremism."
