category,attitude ,title,description
Personal Life,negative,"Justin Trudeau Trolled Over New Viral Shirtless, Kissing Photo With Katy Perry","Justin Trudeau, found himself at the center of a social media storm after a close-up photo of him shirtless and kissing pop star Katy Perry."
Canadian Politics,neutral,Granny Manuel’s wedding gift to Margaret and Pierre Trudeau comes full circle,"This was a call Tara Manuel didn’t see coming. The Corner Brook woman was recently reunited with a letter written by her grandmother decades ago, and a gift G..."
Canadian Politics,negative,Opposition parties slam Trudeau cabinet's future appointments to government agencies,"Opposition MPs are criticizing 88 future appointments made by former prime minister Justin Trudeau's government, some calling for Prime Minister Mark Carney to ..."
Canadian Politics,neutral,Mark Carney wins race to replace Trudeau as Canada’s PM,Former central banker Mark Carney has won the race to become leader of Canada’s ruling Liberal Party and will succeed Justin Trudeau as prime minister. Carney...
Canadian Politics,negative,Trudeau weighs his options as his path to stay on as prime minister narrows,Prime Minister Justin Trudeau is considering his options after Chrystia Freeland’s bombshell resignation Monday heightened calls for him to step down. Freelan...
Resignation,neutral,Canada PM Trudeau says he will step down after new Liberal party leader named,OTTAWA: Canadian Prime Minister Justin Trudeau announced on Monday that he intends to step down as leader of the ruling Liberals after nine years in office but ...
Personal Life,negative,‘Lovebirds’ Justin Trudeau and Katy Perry Have a Bigger Age Gap Than Most Realize,Katy Perry and Justin Trudeau who made their public appearance as a couple are a decade apart in age.
Resignation,negative,Justin Trudeau to resign? 5 BIG controversies involving Canadian PM – from sticking his tongue out to Bohemian Rhapsody,Canadian Prime Minister Justin Trudeau faces mounting scrutiny as reports suggest he may resign as Liberal Party Leader. From a controversial holiday with a bil...
US Relations,negative,"Ex-Trump adviser says Canada in 'difficult position' amid tariff threat, Trudeau resignation","In the face of a potential tariff war, U.S. president-elect Donald Trump’s former national security adviser John Bolton says 'Canada is in a difficult positio..."
Canadian Politics,positive,Trudeau proposes way forward on 24 Sussex problem during final days in power,"As Prime Minister Justin Trudeau prepares to leave office, CBC News has learned that one of his final acts is an attempt to settle the problem of 24 Sussex Driv..."
Resignation,negative,Canadian Prime Minister Justin Trudeau Announces Resignation Amid Political Crisis,Justin Trudeau will step down as Canada's Prime Minister. He'll remain in office until the Liberal Party selects a new leader
Canadian Politics,negative,Terry Newman: Trudeau to Canada — starve your kids for climate change,Forgive us if we put feeding and housing our families above Trudeau's plans to save the entire planet
Canadian Politics,negative,Trudeau set to shuffle his cabinet after chaotic week for Liberals - National,A cabinet shuffle is expected on Friday capping off a chaotic week for Prime Minister Justin Trudeau and the Liberals that saw two ministers step down.
