title	description	snippet		Typology			Potential Categories	
Trump Trudeau Dinner: Did Trump make Trudeau spend the night at a hotel? Here's the truth behind viral X post	US News: An X post that claimed that Donald Trump did not ask Justin Trudeau to stay at Mar-a-Lago at night after their dinner went viral with social media use	"Canada Prime Minister Justin Trudeau was seen leaving a hotel in West Palm Beach, Florida on Saturday morning.

Mary Trump's meatloaf

An X post claiming that P..."		US-Trump Politics				
Why's Trudeau Sticking Out His Tongue?	Canada's outgoing Prime Minister Justin Trudeau carries his chair from the House of Commons on Parliament Hill in Ottawa.	"Banker Mark Carney will replace Justin Trudeau as Canada's prime minister this week.

Carney, who headed the Bank of Canada and then the Bank of England, has no..."		Canadian Politics				
Justin Trudeau Attends Katy Perry Concert in Montreal	Justin Trudeau attended Katy Perry’s Montreal concert … 2 days after being spotted having dinner and cozy drinks together.	"Justin Trudeau attended Katy Perry’s Montreal concert … 2 days after being spotted having dinner and cozy drinks together.

The former Canadian Prime Minist..."		Dating Life				
When will Canada hear from Justin Trudeau?	Trudeau leaves Canada in suspense as anxious Liberals urge him to go.	"This advertisement has not loaded yet, but your article continues below.

When will Canada hear from Justin Trudeau? Trudeau leaves Canada in suspense as anxiou..."		Canadian Politics				
"Maybe Canadians were the problem, not Trudeau"	Canada has struggled to address key challenges for nearly a generation. This failure was bipartisan and it stems from stems from Canadians simply not wanting to...	Open this photo in gallery: Canadian Prime Minister Justin Trudeau delivers a statement after meeting with the National Association of Manufacturers President a...		Canadian Politics				
Canadian 'Governor' Trudeau Mocked After Announcing Plans to Resign	Americans soundly mocked Canadian Prime Minister Justin Trudeau on Monday after he announced plans to resign his post.	"Americans heckled Canadian Prime Minister Justin Trudeau on Monday after he announced plans to resign his post.

Trudeau, a far-leftist who often tangled with P..."		Canadian Politics				
Trudeau spotted at Katy Perry concert days Montreal date	"Justin Trudeau was spotted in the crowd at Katy Perry’s concert in Montreal, days after duo dined together in the city."	"Justin Trudeau was spotted in the crowd at Katy Perry’s concert in Montreal, days after the duo dined together in the city.

The appearance continues to fuel ..."		Dating Life				
Justin Trudeau & Katy Perry ‘Value Connections’ — Report	Sources close to Katy Perry have claimed that the singer is currently 'in a great place' with respect to her romance with Justin Trudeau.	"The romance between former Canadian Prime Minister Justin Trudeau and pop sensation Katy Perry seems to be moving forward in full steam, according to the statem..."		Dating Life				
Sophie Grégoire Trudeau: All about the estranged wife of former Canadian PM caught in the middle of Justin Trudeau-Katy Perry romance	"Canadian Prime Minister Justin Trudeau's rumored romance with Katy Perry is gaining traction, with the pair recently vacationing together. This comes"	"Early life, education, and career



Family, marriage, and children



Xavier James Trudeau

Ella-Grace Margaret Trudeau

Hadrien Grégoire Trudeau

Public life..."		Dating Life				
"Katy Perry & Justin Trudeau Click Really Well, Says ‘Source’"	"Katy Perry and Justin Trudeau, who recently enjoyed a dinner night in Montreal, reportedly like ""chatting"" with one another."	"On July 28, Katy Perry and Justin Trudeau, the former Canadian Prime Minister, were spotted together in Montreal, having dinner. Since then, several dating rumo..."		Dating Life				
Katy Perry Jokes About Englishmen Amid Justin Trudeau Romance	"Katy Perry seemingly teased her romance with Justin Trudeau during her London concert, joking about her history with Englishmen and moving on"	"Katy Perry has seemingly broken her silence on her rumored romance with Justin Trudeau by way of a cheeky joke at a London concert.

“London, England, you’r..."		Dating Life				
Trudeau on the brink after chaotic day in Ottawa	Canada's politics were thrown into chaos after the sudden exit of the country's finance minister.	"Canada's Trudeau on the brink after chaotic day in Ottawa

Getty Images

Canadian Prime Minister Justin Trudeau's government has been thrown into disarray with ..."		Canadian Politics				
Treasury Secretary Scott Bessent: Justin Trudeau Is a ‘Numbskull’	"Secretary of the Treasury Scott Bessent called Canadian Prime Minister Justin Trudeau a ""numbskull"" on Thursday, in response to Trudeau declaring Canada will c..."	"Secretary of the Treasury Scott Bessent called Canadian Prime Minister Justin Trudeau a “numbskull” on Thursday, in response to Trudeau declaring Canada wil..."		Canadian Politics				
Canada will never join US – Trudeau	US President Donald Trump has repeatedly suggested incorporating Canada as the 51st state	"US President Donald Trump has repeatedly floated the idea of absorbing Canada as the 51st state

Outgoing Canadian Prime Minister Justin Trudeau has said US Pre..."		US-Trump Politics				
