title,description,Typology,Potential Categories
Where does Justin Trudeau go without Chrystia Freeland?,"No minister is ever truly irreplaceable. But aside from Trudeau himself, no minister has been more central to this Liberal government than Freeland.ÿHer explos...",Canadian Politics,
Why Canada Fell Out of Love with Justin Trudeau,He promised sunny ways but left behind a divided country,Canadian Politics,
A timeline of Justin Trudeau and Katy Perry?s relationship,Former prime minister Justin Trudeau and pop star Katy Perry have been linked since this summer when they were spotted out together in Montreal. With a recent o...,Personal Life,
Justin Trudeau Attends Katy Perry 'Lifetimes' Concert in Montreal,Justin Trudeau attended Katy Perry's 'Lifetimes Tour' in Montreal days after the two were spotted walking her dog and dining together,Personal Life,
Ten (Other) Times Justin Trudeau Could Have Stepped Down,There have been a lot of scandals,Resignation,
Katy Perry & Justin Trudeau Pack on PDA in the Pacific,Katy Perry and a topless Justin Trudeau were spotted getting hot and heavy after months of rumored romance.,Personal Life,
Trudeau resigns as Liberal Party leader after growing pressure,Canadian Prime MinisterÿJustin Trudeauÿannounced his resignation on Jan. 6 in theÿface of rising discontentÿover his leadership and after theÿabrupt depart...,Resignation,
Trolls Have a Field Day over Trudeau-Perry Kiss,Netizens question both private integrity and public accountability of ex Canadian PM,Personal Life,
What will Canada's second Trudeau era leave behind?,It is impossible in the present to know what history will remember. But Justin Trudeau?s time as a maker of history is now within sight. It is not too early t...,Canadian Politics,
"Trudeau delivers Christmas message, thanks essential workers","Prime Minister Justin Trudeau, in a pre-recorded message, offered Christmas wishes and thanked all essential workers who were on the job so others could celebra...",Canadian Politics,
Trudeau: Canada ?will respond? if Trump imposes tariffs,"Canadian Prime Minister Justin Trudeau has warned of retaliatory measures if US President-elect Donald Trump imposes new tariffs, citing the success o",US Relations,
How Justin Trudeau won and lost the public's adoration,"In his early days as prime minister, Justin Trudeau was ""cool."" In the year that followed his majority sweep into power, he appeared in the pages of Vogue, on t...",Canadian Politics,
Trudeau to appear at Liberal fundraiser tonight,"Chrystia Freeland, Canada's finance minister, said in an explosive letter published Monday morning that she will quit cabinet. Follow along for live updates.",Canadian Politics,
"U.S.-Canada alliance stronger because of Trudeau, Biden says - National","The outgoing U.S. president listed a range of issues that he and Trudeau worked on together, 'from the COVID-19ÿpandemic, to climate change, toÿthe scourge of...",US Relations,
Canadian Prime Minister Justin Trudeau announces his resignation,"Canadian Prime Minister Justin Trudeau has announced his resignation, telling the media that ?internal battles? mean he ?cannot be the best option? in t...",Resignation,
Trudeau slams Trump?s ?dumb? tariffs as economic war on Canada,"Trudeau blasts Trump?s tariffs as an attack on Canada?s economy, warning of severe consequences for both nations.",US Relations,
Trudeau announces Canada-U.S. Economic Summit for Friday,"With the threat of punishing tariffs on pause but still hovering over the Canadian economy, Prime Minister Justin Trudeau announced the government will host a C...",US Relations,
Trudeau calls for calm in face of Trump's tariff threat,"Canadians need to remain calm in the face of U.S. president-elect Donald Trump?s threat to impose 25 per cent tariffs on all imports from Canada, Prime Minist...",US Relations,
Tariffs on Canada also postponed after Trump-Trudeau talks,"After agreeing with Mexico's Claudia Sheinbaum on a one-month pause for the imposition of 25% tariffs, US President Donald Trump reached an understanding Monday...",US Relations,
Why Donald Trump has a rocky relationship with Justin Trudeau?,"The relationship remains strained, with significant economic stakes for Canada. If tensions escalate further, the impact on Canada?s economy could be serious",US Relations,
Photo shows Justin Trudeau kissing Katy Perry on a yacht,"The former prime minister of Canada was seen kissing the Grammy-nominated pop star on her yacht off the coast of Santa Barbara, Calif.",Personal Life,
Justin Trudeau Subtly References Katy Perry With Fintastic Halloween Costume,Justin Trudeau paid subtle homage to Katy Perry amid the pair?s growing romance with his Halloween costume?an inflatable shark.,Personal Life,
Matthew Lau: Canada's Trudeau-induced economic coma,"No matter what metric you look at ? GDP, business investment, jobs, taxes, crime or identity politics ? the figures are grim",Canadian Politics,
Why is Justin Trudeau resigning? Explaining the Canadian PM's political woes,"A decade ago, Canadian Prime Minister Justin Trudeau was a shining figure in international diplomacy. Now he's resigning",Resignation,
Justin Trudeau resigns as Liberal leader: Follow live updates,Prime Minister Justin Trudeau has stepped down as Liberal leader. Follow along for live updates from CTVNews.ca.,Resignation,
Justin Trudeau Thirsts Over Katy Perry At Her Concert,"The internet is in a frenzy after seeing video footage of Justin Trudeau oogling Katy Perry at her ""Lifetimes Tour"" stop in Montreal July 30.",Personal Life,
